#rMax,signalType,configFile,date,year,lumi,config,inputmjj
2.8,gg,dijetSep,17June2023,2018A,13974.656080,CaloDijetSep2018A,CaloScoutingHT2018A_DatavsQDCMC_DE13_M489_wL2L3Residual_17June2021_1130
2.1,qg,dijetSep,17June2023,2018A,13974.656080,CaloDijetSep2018A,CaloScoutingHT2018A_DatavsQDCMC_DE13_M489_wL2L3Residual_17June2021_1130
3.5,qq,dijetSep,17June2023,2018A,13974.656080,CaloDijetSep2018A,CaloScoutingHT2018A_DatavsQDCMC_DE13_M489_wL2L3Residual_17June2021_1130

3.5,gg,dijetSep,17June2023,2018B,7057.396004,CaloDijetSep2018B,CaloScoutingHT2018B_DatavsQDCMC_DE13_M489_wL2L3Residual_17June2021_1130
4.2,qg,dijetSep,17June2023,2018B,7057.396004,CaloDijetSep2018B,CaloScoutingHT2018B_DatavsQDCMC_DE13_M489_wL2L3Residual_17June2021_1130
3.1,qq,dijetSep,17June2023,2018B,7057.396004,CaloDijetSep2018B,CaloScoutingHT2018B_DatavsQDCMC_DE13_M489_wL2L3Residual_17June2021_1130

3.0,gg,dijetSep,17June2023,2018C,6894.770971,CaloDijetSep2018C,CaloScoutingHT2018C_DatavsQDCMC_DE13_M489_wL2L3Residual_17June2021_1130
5.5,qg,dijetSep,17June2023,2018C,6894.770971,CaloDijetSep2018C,CaloScoutingHT2018C_DatavsQDCMC_DE13_M489_wL2L3Residual_17June2021_1130
4.7,qq,dijetSep,17June2023,2018C,6894.770971,CaloDijetSep2018C,CaloScoutingHT2018C_DatavsQDCMC_DE13_M489_wL2L3Residual_17June2021_1130

2.6,gg,dijetSep,17June2023,2018D,26524.906306,CaloDijetSep2018D,CaloScoutingHT2018D_DatavsQDCMC_DE13_M489_wL2L3Residual_17June2021_1130
1.0,qg,dijetSep,17June2023,2018D,26524.906306,CaloDijetSep2018D,CaloScoutingHT2018D_DatavsQDCMC_DE13_M489_wL2L3Residual_17June2021_1130
11.4,qq,dijetSep,17June2023,2018D,26524.906306,CaloDijetSep2018D,CaloScoutingHT2018D_DatavsQDCMC_DE13_M489_wL2L3Residual_17June2021_1130
